idpub,CESD,Marital_status,School_rank,IQ,SE_status_parents,Town_population,Agreeableness,Conscientiousnes,Extraversion, Neuroticism,Openness,Kidsno,Years_of_education,Age_at_first_birth,Autonomy,Self_Acceptance,No_emp_spell,Social_part_1,Family_Stress,additional_child,trt
912142,28,1,62,96,8,7,36,30,22,19,27,2,16,277,34,41,4,1,7,0,0
912158,10,1,92,125,6,6,35,36,33,17,18,2,13,254,31,39,1,2,14,0,0
912223,10,1,93,109,24,5,30,24,14,11,23,4,15,222,26,38,2,1,8,0,0
912231,2,1,68,86,13,2,33,33,36,18,33,6,12,198,42,42,3,1,10,0,0
912285,21,1,32,102,21,3,28,36,25,15,22,4,14,203,27,27,2,2,8,0,0
912338,23,1,67,96,10,6,31,32,13,16,18,4,12,190,27,30,7,0,8,0,0
912361,44,1,84,104,22,7,27,36,17,13,18,3,12,192,26,28,3,3,4,0,1
912418,36,0,29,71,10,2,23,19,20,18,22,2,13,220,27,32,2,1,13,2,0
912437,14,1,68,111,28,6,23,25,21,14,24,4,16,245,36,38,2,7,11,0,0
912449,0,1,6,71,4,2,32,36,32,21,21,4,12,198,42,32,1,3,4,0,0
912468,7,1,76,96,11,3,36,36,32,11,28,3,12,205,36,35,1,3,4,2,1
912470,0,1,93,109,24,9,30,35,35,12,25,6,13,213,39,39,2,1,8,1,0
912494,28,1,22,104,14,3,29,26,29,16,17,3,12,225,29,36,3,1,4,0,0
912495,8,1,62,102,13,9,35,29,18,9,19,4,12,252,36,36,2,2,10,0,1
912500,8,1,38,106,2,6,29,29,25,21,21,4,12,213,32,41,1,4,15,1,0
912512,10,1,61,104,3,6,27,26,23,17,22,3,12,229,29,32,1,2,10,0,1
912520,7,1,53,91,28,4,31,30,21,9,18,4,13,273,26,36,1,4,15,0,0
912631,7,1,90,107,21,2,34,33,19,12,22,5,13,220,36,32,1,1,10,0,0
912636,46,1,42,92,5,4,26,26,28,20,22,4,15,224,25,34,1,6,16,0,0
912642,23,1,70,115,9,2,24,20,22,17,26,2,13,237,35,30,1,1,11,0,0
912644,2,1,33,86,4,3,30,30,24,19,17,4,12,216,28,32,1,3,8,0,0
912700,29,1,42,92,25,4,32,25,14,21,19,3,12,202,24,25,1,4,12,1,0
912724,43,1,13,67,17,6,12,19,22,14,22,4,12,202,27,28,3,2,13,0,0
912732,18,1,56,115,20,8,35,23,24,15,22,1,12,216,28,28,4,0,6,6,0
912760,6,1,92,111,25,6,28,26,20,16,27,2,16,273,31,39,1,6,10,2,0
912762,13,1,55,112,5,9,29,29,22,19,23,4,12,210,32,27,4,3,14,0,0
912799,2,1,65,97,10,3,30,29,22,19,19,4,12,220,35,40,1,1,6,0,0
912863,3,1,63,88,4,3,36,30,24,13,24,2,12,205,39,29,10,0,4,0,0
912878,48,1,97,96,16,3,27,28,14,29,13,7,12,207,23,21,1,1,15,0,0
912880,29,1,86,125,17,4,28,25,9,23,21,4,15,220,28,31,1,0,10,0,0
912947,0,1,41,99,17,4,30,31,21,16,20,4,12,217,32,36,1,0,8,0,0
912956,4,1,91,104,8,4,30,30,19,12,25,3,16,275,29,37,1,1,6,0,0
912970,1,1,41,93,38,8,30,28,25,15,24,3,16,233,37,40,4,2,5,0,0
912971,3,1,60,97,18,3,30,28,31,15,26,3,16,250,36,41,2,3,10,0,0
912987,8,1,49,118,33,7,29,35,20,12,25,4,12,228,30,38,2,2,4,0,0
913015,5,1,25,89,4,4,32,30,22,18,25,2,15,263,32,38,1,3,11,0,0
913027,29,1,19,78,19,4,28,31,17,21,16,2,12,231,26,27,1,2,12,0,0
913033,47,1,80,106,12,3,33,34,12,18,17,4,13,235,20,31,2,4,8,0,0
913042,17,1,49,93,14,6,30,27,27,17,19,3,12,258,32,33,2,1,9,0,0
913049,22,1,42,79,11,6,36,31,31,20,11,1,13,262,21,25,2,2,4,0,0
913086,13,1,96,125,15,2,33,22,27,21,27,2,12,191,29,36,2,4,5,0,1
913088,4,1,44,101,36,6,23,29,28,12,22,3,18,214,30,36,2,5,9,0,1
913100,8,1,74,113,10,3,26,27,14,15,17,2,17,301,21,40,1,0,7,0,0
913109,3,1,54,92,12,5,30,24,18,14,14,4,12,255,32,35,1,2,8,0,0
913113,6,1,31,101,24,7,36,27,20,14,16,5,13,198,32,39,0,1,8,0,0
913146,2,1,87,109,20,7,32,34,17,11,22,7,12,209,33,41,2,1,11,0,0
913150,10,1,72,115,16,3,31,30,29,10,22,2,15,228,30,34,3,4,11,0,0
913159,14,0,89,123,16,7,33,27,27,15,29,1,16,264,16,18,3,2,8,0,0
913181,33,1,74,127,9,2,26,26,18,22,19,4,12,217,18,18,1,2,11,0,0
913204,59,0,64,99,14,3,32,36,24,15,21,3,12,200,39,31,1,1,8,0,0
913265,28,1,92,96,6,4,30,27,20,17,19,2,12,197,25,26,3,5,8,0,0
913271,24,1,11,98,10,4,29,26,23,13,24,1,12,205,30,32,1,1,10,2,0
913280,3,1,47,89,30,8,33,36,26,19,25,2,12,224,40,34,4,0,10,0,1
913301,5,1,97,121,41,9,26,31,31,18,18,3,16,246,25,37,2,4,9,1,0
913304,9,1,95,124,14,9,30,30,24,16,28,3,16,238,18,18,3,2,8,0,1
913323,4,1,89,98,14,3,31,26,14,12,25,2,16,299,31,29,3,2,7,1,0
913330,15,1,49,97,17,5,28,28,14,16,20,3,12,257,28,23,2,1,13,0,1
913354,15,0,20,96,6,9,32,28,29,18,35,2,12,212,41,33,12,3,6,0,0
913365,19,1,90,98,3,2,34,35,29,11,30,3,18,256,39,37,1,5,8,0,1
913423,33,1,94,112,10,4,32,35,13,8,19,2,13,205,15,21,2,3,5,3,0
913436,27,1,27,101,18,2,26,26,20,18,23,3,15,240,28,28,3,1,8,0,1
913462,4,1,76,98,27,4,36,36,27,7,28,3,13,220,27,42,8,4,10,0,0
913468,85,1,74,111,15,4,26,28,8,15,17,4,15,220,17,13,3,1,12,5,0
913485,1,1,85,117,31,3,34,30,29,11,27,3,19,288,36,36,3,3,8,1,0
913508,15,1,99,113,22,4,33,34,25,16,24,1,16,321,34,34,2,2,14,1,0
913545,47,0,35,104,14,6,29,24,13,22,20,1,12,194,29,29,3,1,17,0,1
913557,16,1,40,98,12,9,36,30,25,20,21,4,12,215,33,38,4,1,14,1,0
913594,13,1,80,109,41,9,30,26,22,19,25,4,16,244,30,35,4,2,12,1,0
913598,30,1,97,112,36,7,24,22,15,21,17,2,18,234,22,30,7,1,9,0,0
913606,8,1,80,107,21,4,30,32,26,18,19,1,14,233,26,36,3,3,9,0,0
913618,4,1,77,120,7,4,32,29,22,20,21,3,13,208,32,37,1,3,8,0,0
913621,2,1,33,93,13,6,29,26,23,16,21,4,12,225,33,25,2,1,4,0,0
913624,35,1,80,96,19,6,31,35,26,23,27,2,14,206,24,35,7,6,10,0,0
913678,6,1,83,109,19,6,33,34,24,19,24,2,12,278,21,39,3,1,10,0,0
913679,34,1,44,87,13,5,24,23,22,20,20,4,12,200,24,20,1,1,13,0,1
913681,12,1,22,104,17,6,24,20,32,14,23,3,12,196,38,37,4,4,8,4,0
913700,19,1,61,85,19,6,33,29,25,16,19,4,12,204,33,38,2,4,8,0,0
913702,5,0,38,103,28,6,23,28,24,16,25,4,12,207,38,30,2,5,10,0,0
913718,20,1,98,129,23,4,36,31,24,6,28,2,16,245,42,37,1,3,11,0,0
913761,14,1,90,109,24,6,33,24,33,10,27,4,12,251,32,37,2,3,8,0,0
913762,4,1,83,109,3,3,24,31,17,10,21,4,13,225,32,33,1,2,9,0,0
913772,20,1,52,73,24,2,34,29,14,15,17,2,14,246,22,35,1,1,10,0,0
913796,21,1,45,86,19,4,30,36,30,10,29,3,12,229,31,31,3,3,8,0,0
913797,1,1,84,109,17,4,26,36,22,12,25,2,16,241,37,41,1,4,6,0,0
913812,5,1,79,129,11,3,34,30,16,9,25,5,14,223,36,37,2,2,10,0,0
913901,30,1,55,104,11,6,25,25,10,17,29,2,12,245,29,37,4,4,8,0,0
913909,28,1,67,102,4,2,36,36,23,15,26,2,13,248,20,22,3,4,12,0,0
914033,1,1,90,117,14,2,31,26,25,11,23,4,13,235,29,39,7,3,10,0,0
914056,38,1,89,117,4,4,29,23,26,20,27,3,15,255,26,30,4,0,10,0,0
914096,8,0,62,107,7,3,26,25,14,12,25,1,12,216,32,28,7,0,7,0,0
914125,20,0,63,112,14,2,26,27,28,16,28,1,12,275,31,36,2,2,11,0,0
914126,31,1,95,127,46,9,23,29,14,17,23,3,14,209,26,28,2,2,10,2,0
914149,22,1,94,120,22,3,27,31,16,15,27,1,14,213,33,27,1,3,6,0,0
914159,39,1,57,102,18,4,25,25,16,19,14,3,13,247,25,23,1,3,13,0,0
914189,9,1,54,98,9,3,31,34,25,10,28,5,12,215,30,36,3,2,8,0,0
914202,18,1,40,92,3,3,34,33,24,18,14,1,12,353,23,35,1,0,9,0,0
914204,17,1,43,87,3,2,34,27,32,20,16,3,12,270,28,32,1,2,10,0,0
914237,9,1,53,118,12,6,30,31,27,10,26,5,12,285,31,29,3,1,6,4,0
914269,12,1,16,67,10,4,28,33,21,17,26,2,12,222,25,28,2,1,5,0,0
914276,32,1,37,76,12,6,33,35,24,13,19,4,13,225,30,39,2,3,8,0,0
914294,6,0,70,115,15,3,31,30,28,17,34,3,13,216,37,42,3,1,4,0,0
914323,27,1,98,112,54,9,34,36,22,28,14,4,16,278,27,22,2,1,7,0,0
914384,12,1,77,76,16,4,28,26,24,16,19,2,12,280,34,35,2,1,8,0,0
914403,10,1,77,102,2,4,31,27,23,19,22,3,12,190,30,27,3,3,7,0,0
914455,9,1,68,101,24,4,27,25,20,18,19,4,13,235,27,28,1,3,10,0,0
914456,10,1,65,113,12,6,33,21,28,13,29,4,13,220,30,40,2,2,10,0,0
914472,12,1,57,99,12,4,31,29,27,20,16,3,12,236,28,38,2,0,10,2,0
914475,26,1,25,99,12,4,30,30,23,19,20,3,14,223,29,22,2,3,11,1,0
914536,11,1,74,101,9,3,30,25,22,17,25,2,16,277,24,38,2,2,10,1,0
914538,5,1,38,103,15,6,26,35,30,14,24,2,12,199,37,42,3,2,10,0,0
914546,2,1,80,113,26,5,33,30,29,11,28,3,15,225,38,40,2,2,8,0,0
914548,9,1,99,127,17,3,23,24,18,9,24,2,16,209,34,28,3,0,10,4,0
914550,8,1,80,98,22,4,34,31,27,13,27,2,16,230,29,30,1,1,5,0,0
914555,13,1,95,112,38,3,22,34,27,9,26,2,17,255,35,40,4,4,12,0,0
914561,8,1,29,92,29,4,24,29,25,16,20,3,16,266,39,36,1,2,5,0,0
914576,18,1,87,125,15,6,23,26,23,20,23,2,15,284,33,33,2,1,8,0,0
914594,11,1,29,92,10,3,35,30,19,18,22,4,12,189,29,32,8,2,4,6,1
914610,34,1,99,109,29,9,20,32,21,18,24,2,16,253,35,23,3,4,8,0,0
914632,8,1,57,102,22,6,29,29,22,16,21,4,12,195,27,30,3,5,12,3,1
914643,4,0,75,99,10,4,34,30,34,7,30,3,12,223,35,36,4,2,7,0,1
914674,7,1,78,97,25,6,28,33,22,16,17,1,16,265,29,37,2,5,8,0,1
914679,40,1,61,83,12,4,30,26,19,14,13,2,12,220,21,28,2,3,9,0,1
914757,17,0,71,104,47,4,35,29,27,7,28,2,17,217,36,39,9,3,4,3,0
914826,3,1,74,109,9,3,34,36,25,12,25,2,16,211,30,36,2,6,7,0,1
914865,12,1,84,93,7,5,26,28,19,20,16,3,12,217,35,32,1,2,12,0,0
914867,12,1,32,75,9,3,35,29,29,10,17,3,12,209,35,37,1,5,8,1,0
914913,27,1,49,112,19,6,34,26,25,14,17,2,13,200,27,31,4,5,16,0,0
915038,4,1,53,96,18,9,32,31,30,13,27,3,13,205,29,42,3,8,10,0,0
915077,33,1,34,88,10,6,29,33,19,13,22,3,12,190,42,41,1,0,8,0,1
915121,19,1,56,99,15,5,29,28,24,11,21,2,15,245,33,34,1,2,7,0,0
915147,18,1,95,107,20,4,31,34,25,19,17,3,12,180,31,40,1,4,14,0,0
915205,9,1,43,101,33,7,26,24,25,20,23,4,13,206,35,32,1,1,10,1,0
915235,68,1,59,88,24,6,28,21,9,26,14,3,13,220,23,21,1,3,10,0,0
915241,9,1,89,93,7,5,35,23,27,13,23,4,12,238,36,42,3,3,12,0,0
915243,7,1,82,115,7,5,31,19,16,10,11,4,12,195,30,35,1,0,8,0,0
915266,72,1,42,92,9,6,25,31,17,25,18,3,12,220,33,20,8,1,9,0,1
915274,11,1,87,117,8,2,32,31,24,22,20,5,12,196,33,28,2,5,5,0,0
915288,11,1,58,81,11,6,30,34,22,19,22,2,12,211,28,37,2,1,8,0,0
915304,13,1,58,93,11,2,26,29,26,15,18,4,12,215,28,31,1,1,6,0,0
915305,6,1,91,120,37,6,23,33,21,16,28,2,17,250,35,39,16,1,9,1,0
915308,0,1,77,97,13,6,30,32,23,11,22,2,12,249,38,42,2,1,8,1,0
915320,7,1,46,111,17,4,27,29,24,19,20,3,12,220,27,34,3,1,8,0,0
915340,42,1,31,81,7,2,30,29,22,23,20,2,13,224,19,22,1,1,10,0,0
915350,20,1,10,85,23,2,28,27,14,14,13,3,12,188,38,26,2,1,15,4,0
915416,5,1,73,97,59,7,36,35,21,15,20,3,14,285,36,39,2,1,11,0,0
915461,1,1,73,109,27,7,36,36,27,14,29,3,12,200,42,37,3,3,4,0,0
915494,7,1,13,97,7,6,28,31,17,16,24,5,12,213,27,36,1,2,8,0,0
915496,8,1,95,103,2,6,31,29,22,12,21,4,16,232,29,40,1,4,4,0,0
915529,2,1,98,118,21,4,26,30,25,14,24,3,14,231,32,35,1,5,8,0,0
915530,19,1,89,117,15,9,33,31,22,12,22,3,16,248,28,30,1,5,8,0,0
915532,21,1,95,118,35,3,20,31,10,22,17,2,16,230,40,36,2,2,6,0,0
915562,20,1,84,97,13,7,31,26,19,10,23,3,13,212,40,36,3,1,5,0,0
915592,27,1,36,82,6,9,35,31,18,15,21,2,15,314,29,40,1,0,10,0,0
915596,8,1,74,109,16,9,26,32,17,18,18,3,12,258,33,30,2,4,9,1,1
915607,18,1,23,94,6,3,25,26,25,18,24,2,12,203,27,27,1,1,9,5,0
915608,22,1,82,87,23,9,28,26,27,17,19,2,12,198,34,30,1,7,14,0,0
915616,18,1,23,85,10,3,22,29,20,15,17,4,12,220,26,29,4,2,10,0,0
915624,0,1,92,109,20,3,23,36,34,15,20,3,12,189,37,42,7,4,8,0,0
915663,3,1,61,91,17,5,34,35,21,19,21,3,17,265,37,41,1,3,5,0,1
915669,9,1,9,87,33,9,32,35,32,9,25,2,12,208,42,34,1,1,10,0,0
915719,1,1,16,75,3,6,28,25,22,18,23,6,12,201,27,37,8,0,9,0,0
915724,26,1,99,120,13,2,28,28,30,15,26,4,16,224,41,31,3,4,8,0,0
915738,12,1,79,109,9,9,31,32,20,11,21,4,16,219,32,41,2,3,9,0,0
915749,9,1,55,93,16,3,25,28,25,16,25,2,16,279,34,41,1,4,7,0,0
915784,5,1,85,115,20,2,30,30,22,10,27,2,16,225,32,31,2,3,10,0,0
915794,1,1,96,133,11,6,33,35,35,14,30,3,16,216,42,42,1,5,5,0,0
915867,10,1,87,104,24,3,23,31,30,18,21,4,12,198,35,40,4,0,8,0,0
915868,9,1,78,117,35,5,31,22,23,8,26,4,17,267,27,32,8,2,4,0,0
915876,18,0,78,97,17,6,36,33,30,14,16,2,14,210,18,20,2,5,6,0,0
915894,0,1,78,109,38,2,30,32,36,12,26,5,14,217,42,42,3,2,6,0,0
915901,5,1,65,104,8,4,26,27,27,15,22,4,12,212,34,38,9,3,11,0,0
915903,28,1,51,93,6,4,15,18,18,10,15,4,12,197,32,33,1,0,8,0,0
915909,9,1,84,87,7,3,33,30,21,19,16,3,12,212,33,41,2,1,3,0,0
915919,14,1,29,93,24,7,33,33,21,18,19,2,14,233,32,35,2,1,8,0,0
915925,7,1,11,75,16,5,23,27,22,16,23,6,12,197,35,37,1,3,11,0,0
915954,9,1,75,109,2,3,34,35,20,12,29,1,14,305,30,39,1,0,7,4,0
915974,4,1,45,89,7,2,25,30,25,12,22,6,12,187,32,36,2,3,8,0,0
916007,10,1,63,92,4,6,33,34,31,9,30,3,13,235,29,40,2,3,5,0,0
916034,0,1,68,104,10,3,27,25,22,5,3,2,12,203,26,37,1,3,9,4,0
916041,9,1,85,112,31,9,29,29,25,8,24,3,14,225,31,38,3,4,6,0,0
916122,23,1,92,107,17,6,28,32,14,21,21,2,12,251,32,31,2,0,12,0,0
916130,2,1,65,99,15,9,35,35,19,6,28,5,15,242,40,39,8,3,4,0,0
916149,30,1,76,107,3,3,27,29,21,15,23,2,12,202,27,25,2,3,8,0,0
916150,10,1,72,91,7,3,28,27,24,9,20,8,14,204,33,32,4,3,5,0,0
916173,14,1,5,92,12,4,27,29,19,17,20,2,12,211,28,34,1,0,9,0,0
916174,10,1,89,94,5,2,25,34,34,14,23,4,12,225,27,38,3,2,16,0,0
916188,15,1,85,118,32,6,31,27,24,21,25,3,16,233,34,38,1,5,12,3,0
916216,24,1,72,111,14,9,25,27,24,15,20,4,16,220,32,32,1,2,15,0,0
916229,1,1,83,106,27,4,36,36,30,21,20,4,12,208,31,35,1,5,7,0,0
916236,15,1,47,92,16,3,22,31,18,20,15,4,12,196,27,26,1,1,8,0,0
916250,46,1,50,71,15,8,33,27,21,15,18,3,13,240,29,38,2,2,10,0,0
916274,11,1,96,124,41,7,34,34,27,18,25,2,16,262,27,38,0,1,12,1,0
916279,2,1,88,102,18,9,32,30,25,16,22,1,19,329,34,38,2,2,14,3,0
916301,2,1,70,133,22,6,29,27,33,6,30,3,13,199,37,36,3,2,7,0,0
916303,1,1,23,103,19,5,23,28,26,22,24,3,12,212,35,35,2,0,10,0,0
916307,2,1,62,99,15,2,35,33,24,20,27,3,14,237,32,38,1,3,10,0,1
916323,3,1,37,87,10,5,24,36,29,12,26,2,12,223,34,29,4,2,7,0,0
916330,32,0,83,133,4,3,25,32,25,23,19,1,12,230,28,31,1,2,13,0,0
916370,14,1,19,75,7,3,29,26,22,16,14,2,12,280,26,31,2,1,5,0,0
916376,46,1,77,109,7,5,35,30,14,24,15,3,12,211,20,22,1,1,13,0,1
916377,10,1,86,120,34,6,24,25,15,18,13,4,12,209,18,29,1,3,10,0,0
916411,29,1,40,89,3,2,36,33,16,19,17,4,12,189,23,29,1,3,12,0,1
916486,31,1,30,89,10,2,22,25,23,23,15,2,12,206,30,24,2,1,14,0,0
916505,13,1,31,93,9,3,26,24,22,16,23,4,13,205,28,30,7,2,9,0,0
916508,0,1,78,111,15,4,28,32,18,16,19,2,12,199,33,35,4,1,9,0,0
916542,25,1,49,101,18,6,27,28,17,26,18,1,12,249,39,41,2,1,8,0,0
916554,25,1,77,102,11,3,31,24,14,16,25,6,12,222,34,27,3,0,10,0,0
916560,30,1,47,93,9,4,33,24,18,28,17,4,12,204,23,31,3,4,9,1,0
916605,30,1,68,101,10,6,30,32,28,23,22,3,12,296,26,37,1,2,6,0,0
916610,2,1,94,125,34,3,25,28,26,17,32,2,18,301,34,42,9,1,9,0,0
916661,28,0,94,101,26,6,31,35,29,24,21,5,14,207,22,27,1,6,3,4,0
916669,20,1,88,106,16,4,19,35,19,21,21,1,13,210,25,28,2,1,8,0,1
916674,0,1,54,104,8,3,31,32,34,6,18,6,16,230,33,39,3,2,6,0,0
916707,6,1,47,98,33,4,29,27,24,19,25,2,12,212,33,33,1,4,6,0,0
916723,14,1,77,99,16,6,31,27,16,22,12,3,12,273,16,32,1,3,10,0,0
916736,126,1,30,98,8,2,23,10,6,30,10,2,13,229,12,8,4,1,13,0,0
916748,7,1,81,103,20,3,35,36,24,6,23,2,12,207,42,36,2,0,8,0,0
916755,9,1,53,104,15,7,27,29,22,16,20,2,12,215,30,33,4,2,5,0,0
916756,27,1,82,117,21,8,26,26,20,20,16,3,14,265,29,28,4,5,8,0,0
916804,6,1,33,94,12,2,32,32,34,16,28,2,13,215,38,42,4,3,8,0,1
916809,8,1,97,125,24,3,33,28,22,17,12,3,12,220,29,33,2,3,14,0,0
916824,5,1,79,139,28,6,28,28,17,12,28,2,12,195,32,34,3,1,10,0,0
916879,9,1,64,88,7,3,32,35,30,10,28,4,12,178,38,37,3,5,5,0,0
916881,14,1,64,103,13,4,32,31,20,18,20,1,12,260,22,26,3,1,8,0,0
916889,29,1,68,133,22,4,28,22,25,16,27,2,15,310,32,33,3,1,8,1,0
916905,76,0,4,67,15,3,23,20,20,14,17,3,12,214,19,24,3,1,9,0,1
916910,25,1,7,78,23,2,28,29,30,19,20,3,12,213,26,37,1,1,6,0,0
916923,41,1,75,109,3,3,18,24,22,23,27,2,12,197,29,32,2,1,13,0,0
916945,33,1,63,111,21,2,31,26,22,16,20,2,15,285,29,21,8,2,8,1,0
916974,31,1,54,91,9,5,34,28,14,14,21,3,12,187,28,27,3,1,8,0,0
917017,3,1,7,83,12,5,36,36,23,8,28,2,12,214,42,37,3,4,4,3,0
917024,34,1,82,102,30,7,27,29,29,22,17,2,12,206,26,27,2,2,12,0,0
917050,21,1,73,104,25,9,33,29,35,15,29,3,16,237,31,37,2,6,8,2,0
917051,24,1,84,125,7,5,27,28,21,11,21,4,14,220,29,31,7,4,12,0,1
917114,65,1,90,106,12,4,28,24,19,28,13,4,12,195,24,20,2,1,10,0,0
917116,20,1,87,107,9,4,32,13,17,16,19,3,16,247,19,29,3,4,8,0,0
917118,7,1,73,102,7,4,32,26,24,11,21,2,12,214,31,34,1,3,8,0,0
917145,11,1,84,101,32,2,32,30,23,12,18,3,14,197,24,37,1,0,7,0,0
917195,18,1,90,98,19,8,27,32,28,15,27,2,16,261,29,28,1,2,12,0,1
917224,23,1,41,92,17,9,18,18,16,6,9,2,12,196,36,37,2,0,4,0,0
917233,21,1,38,75,5,4,26,26,21,18,18,4,12,219,31,33,1,2,10,0,0
917251,30,0,15,77,11,4,23,31,22,20,23,4,12,195,30,28,3,4,10,0,1
917278,18,1,85,103,15,6,31,26,23,21,13,2,16,245,26,29,2,2,8,0,0
917312,9,1,97,109,9,2,30,32,23,25,27,3,16,256,36,41,3,2,12,0,0
917315,17,1,2,87,9,5,25,26,19,19,20,3,12,224,33,37,4,3,8,0,0
917320,0,1,76,109,9,2,24,32,27,18,17,2,12,239,35,31,1,2,6,0,0
917328,0,1,48,123,16,8,27,28,26,21,28,3,12,188,37,42,2,1,5,0,0
917332,3,1,98,106,39,6,31,35,24,15,29,2,16,253,29,41,2,4,11,1,0
917350,26,1,57,103,14,4,26,35,25,13,23,3,13,240,33,40,4,5,14,0,0
917368,21,1,67,103,28,5,34,29,20,22,20,4,12,230,27,33,2,3,8,0,0
917388,10,1,39,104,9,9,31,31,30,15,23,5,15,224,35,38,1,3,11,1,0
917439,0,1,36,89,50,6,31,32,25,11,25,5,13,210,39,42,1,4,9,0,0
917447,17,1,86,118,13,2,29,27,20,14,23,4,12,194,27,32,1,0,8,0,1
917448,23,0,50,96,9,4,25,27,25,16,19,1,16,227,25,34,1,3,11,0,0
917464,2,1,71,98,6,6,32,33,24,19,12,4,12,206,32,39,2,3,7,0,0
917473,91,1,30,77,12,3,31,24,12,21,11,2,12,231,27,12,7,1,7,0,0
917516,19,1,82,113,32,7,22,21,15,18,30,3,13,182,38,38,6,1,4,0,0
917525,25,1,20,106,46,5,24,22,28,14,21,2,15,280,36,24,1,2,9,0,0
917530,3,1,38,104,12,9,31,33,18,14,16,3,12,210,26,38,2,2,4,0,0
917535,10,1,77,102,13,7,32,28,27,8,24,3,14,243,32,36,1,2,6,1,0
917565,6,1,81,118,13,2,29,30,31,7,22,8,12,215,31,36,1,2,8,1,0
917585,14,1,70,107,11,6,27,29,30,16,20,4,12,198,32,37,4,0,10,0,0
917598,47,0,91,109,18,9,32,27,24,20,16,2,12,270,19,27,2,3,14,0,0
917609,12,1,57,94,10,4,34,30,18,19,24,2,12,210,29,30,1,3,10,0,0
917622,12,1,97,113,5,6,23,19,29,25,19,2,14,271,25,29,2,4,6,0,0
917643,1,1,89,101,5,3,36,32,28,8,27,2,12,221,38,37,3,1,7,0,0
917647,17,1,93,111,11,5,34,36,27,10,26,4,13,237,34,34,2,2,4,0,0
917659,6,1,82,112,11,2,18,29,13,13,28,1,12,310,40,39,7,1,6,0,0
917683,77,1,39,92,2,3,21,23,20,22,18,5,12,199,25,20,1,2,11,0,0
917702,8,1,94,129,50,4,34,34,24,9,25,2,17,262,35,33,4,2,9,0,0
917728,12,1,15,101,11,6,31,27,21,19,24,2,12,269,26,31,2,0,9,0,0
917738,0,1,69,96,1,2,35,34,28,9,21,3,12,229,41,36,0,3,8,0,0
917770,7,1,26,92,33,9,27,27,24,14,23,3,13,261,31,41,2,3,8,0,1
917772,34,1,31,98,16,3,23,25,24,19,21,2,13,276,31,34,1,3,9,0,0
917781,9,1,68,91,13,5,34,33,29,14,30,4,15,221,37,37,1,3,6,0,0
917782,3,1,46,79,12,2,32,34,27,18,29,3,14,219,28,32,2,5,11,0,0
917795,11,1,14,112,46,7,28,30,27,10,21,5,12,220,25,33,4,4,12,0,0
917810,31,1,58,109,15,9,33,18,22,13,34,2,13,300,25,26,0,3,11,0,0
917824,18,1,65,89,12,2,31,29,30,14,17,2,12,210,31,34,4,6,9,0,0
917831,19,1,86,107,11,9,29,35,22,25,16,3,16,245,28,41,1,5,13,0,1
917835,12,1,49,91,4,3,31,30,26,11,15,5,12,232,36,36,1,2,10,0,0
917908,30,1,49,89,6,2,23,22,19,21,17,3,12,237,14,10,1,2,6,0,0
917937,51,0,44,92,3,9,19,26,19,13,18,2,12,216,24,19,3,1,4,0,0
918049,15,1,97,127,17,9,26,30,22,16,28,3,16,255,38,36,3,4,6,0,1
918056,13,1,99,125,28,9,24,30,26,16,30,3,19,275,36,42,4,3,10,0,0
918062,11,1,30,86,13,6,26,35,22,19,21,6,12,218,38,36,1,0,8,0,1
918077,5,1,91,94,18,9,33,32,29,10,25,2,14,243,32,31,2,3,6,0,0
918091,4,1,71,118,21,5,34,31,29,14,26,4,12,210,35,42,2,4,4,0,0
918111,7,1,97,106,23,9,31,33,29,12,30,2,16,242,40,40,1,5,4,3,0
918117,18,1,57,101,6,4,33,29,19,17,19,4,13,206,27,35,2,1,10,0,0
918118,6,1,17,82,14,8,33,28,30,14,7,2,13,217,21,30,1,1,8,0,0
918155,0,1,51,88,12,3,35,36,27,9,30,2,14,278,33,34,4,1,5,0,0
918168,18,1,84,101,39,6,30,26,24,6,25,2,14,200,31,33,2,0,5,0,0
918185,10,1,81,109,12,4,28,33,19,16,25,2,12,217,25,28,1,0,8,0,0
918220,46,1,68,85,14,6,26,32,21,15,28,2,12,207,25,27,2,2,8,0,0
918252,2,1,80,139,37,4,33,33,29,12,27,2,12,201,41,42,4,1,9,3,0
918269,1,1,18,82,6,4,36,35,24,10,19,4,12,192,32,41,1,1,7,0,0
918279,3,1,47,98,3,6,27,29,25,15,21,4,12,220,33,37,2,1,12,0,0
918283,0,1,89,113,35,2,31,29,31,17,23,3,12,215,36,38,4,1,8,-7,0
918291,23,1,74,102,16,3,26,25,25,22,18,1,12,211,28,32,1,3,12,4,0
918295,14,1,79,124,19,2,31,28,17,17,26,6,13,197,34,38,1,6,8,1,0
918327,26,1,56,91,7,2,27,26,26,17,15,5,12,210,30,34,1,1,8,2,0
918341,7,1,60,96,13,6,34,26,26,15,29,3,14,211,27,39,1,2,11,0,1
918349,7,1,70,96,14,3,36,30,22,18,17,2,12,231,28,34,1,2,10,0,0
918352,8,1,85,115,17,7,30,33,21,22,24,2,12,217,29,34,2,1,4,0,0
918376,14,1,23,75,7,3,35,34,24,20,17,6,12,215,26,32,1,1,10,0,0
918380,29,1,38,82,22,3,25,25,19,17,20,4,12,200,29,25,1,2,9,0,0
918406,33,1,1,71,11,9,26,25,22,18,20,3,12,211,28,39,3,0,5,2,0
